PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06nQr,8/1R5p/6k1/2p2p2/2Pb2p1/R4KP1/7P/4r3 w - - 0 41,f3g2 e1g1,1215,75,98,1040,endgame mate mateIn1 oneMove,https://lichess.org/5w4lle31#81,
06ndm,4k1r1/3p1p2/p3bB2/1p1r1q2/1P5p/2Q5/1P3PPP/4R1K1 b - - 4 27,d7d6 c3c8,1664,80,77,229,mate mateIn1 middlegame oneMove pin,https://lichess.org/j0BENXrH/black#54,
06nl4,2kr3r/ppq2p2/2n1p3/6pp/1PPb1Pn1/P2P1B1P/R5P1/1NBQ1R1K w - - 0 16,h3g4 h5g4,872,76,100,163,discoveredAttack kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/CYzbT3g2#31,Rat_Defense Rat_Defense_Fuller_Gambit
06noG,3k4/3P4/2KN2pp/3N1p2/5P2/6n1/4p3/8 b - - 1 52,e2e1q d6b7,912,96,88,290,endgame mate mateIn1 oneMove,https://lichess.org/WASga8PK/black#104,
06o2P,5r2/p5R1/2pp1r2/4bP1k/8/2PB2p1/PP3pP1/3K1R2 b - - 4 39,h5h6 g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,2032,75,94,2016,deflection discoveredAttack endgame exposedKing mate mateIn4 pin veryLong,https://lichess.org/q5rQKjeL/black#78,
06oAC,rn1qk1nr/p1b2p1p/1pp3p1/3N4/B2P4/8/PP3PQP/R1B1K3 b Qkq - 0 15,g8e7 d5f6 e8f8 c1h6,1696,75,95,10731,mate mateIn2 middlegame short,https://lichess.org/uITPFvnO/black#30,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation
06oAm,r2qk2r/ppp2ppp/2n5/4P3/4nN2/4Pb2/PPP3PP/R2QKB1R w KQkq - 0 10,d1f3 d8d2,845,82,82,92,mate mateIn1 middlegame oneMove,https://lichess.org/xrat7M5P#19,Four_Knights_Game Four_Knights_Game_Scotch_Variation
06pJu,2Q3k1/5ppp/3p1b2/3P4/8/4R3/5PPP/2q1R1K1 b - - 0 33,c1c8 e3e8 c8e8 e1e8,584,103,72,363,backRankMate endgame fork mate mateIn2 short,https://lichess.org/h0soYpTf/black#66,
06pdI,2r2rBk/5pp1/3p4/8/Pb3qP1/2P5/2Q4R/4K3 b - - 9 36,h8g8 c2h7,925,83,66,133,endgame mate mateIn1 oneMove,https://lichess.org/fQ1O17la/black#72,
06pu4,2r2rk1/1b1nqpp1/p1p1p2p/1p2P3/3PQ3/3B1N2/PP3PPP/2R2RK1 b - - 0 18,d7b6 e4h7,636,95,100,43,mate mateIn1 middlegame oneMove,https://lichess.org/WsWc2Mf7/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Orthodox_Defense
